year,mcss_majors
2002,15
2003,27
2004,30
2005,29
2006,45
2007,38
2008,35
2009,39
2010,49
2011,25
2012,40
2013,38
2014,53
2015,38
2016,52
2017,62
2018,37
2019,72
2020,65
2021,50
2022,55
